==== Evaluation Results ====

| Model    | Resolution   | Horizon   | Target Variable   | Input Type   |    MAE |   RMSE |   MAPE (%) |   Fit Time |   # Params |
| TRANS    | 1h           | t+6       | T                 | Univariate   | 1.9200 | 2.3700 |   458.6300 |   250.8536 |       8641 |
| TRANS    | 6h           | t+4       | T                 | Univariate   | 1.3400 | 1.6700 |   337.2600 |    21.7515 |       8641 |
| TRANS_MV | 1h           | t+1       | T                 | Multivariate | 0.4600 | 0.5800 |   104.6800 |   202.7085 |       8705 |
| TRANS_MV | 6h           | t+1       | T                 | Multivariate | 1.1400 | 1.5100 |   246.5400 |    29.6444 |       8705 |
| TRANS_MV | 24h          | t+1       | T                 | Multivariate | 1.2900 | 1.9100 |   160.6200 |     0.8191 |       8705 |
| TRANS_MV | 1h           | t+6       | T                 | Multivariate | 2.1100 | 2.5400 |   458.0500 |   202.7085 |       8705 |
| TRANS_MV | 6h           | t+4       | T                 | Multivariate | 1.3400 | 1.8000 |   254.4700 |    29.6444 |       8705 |


==== Evaluation Results by Resolution ====


-- 1h --

| Model    | Resolution   | Horizon   | Target Variable   | Input Type   |    MAE |   RMSE |   MAPE (%) |   Fit Time |   # Params |
|----------|--------------|-----------|-------------------|--------------|--------|--------|------------|------------|------------|
| AR(1)    | 1h           | t+1       | T                 | Univariate   | 0.8700 | 1.2800 |   145.7800 |     0.0030 |          2 |
| AR(1)    | 1h           | t+6       | T                 | Univariate   | 2.2500 | 3.0500 |   311.7800 |     0.0030 |          2 |
| AR(8)    | 1h           | t+1       | T                 | Univariate   | 0.6600 | 0.9600 |   122.7400 |     0.0050 |          9 |
| AR(8)    | 1h           | t+6       | T                 | Univariate   | 1.5800 | 2.0700 |   307.9000 |     0.0050 |          9 |
| RNN      | 1h           | t+1       | T                 | Univariate   | 0.4100 | 0.5300 |    82.7200 |   197.7429 |       1153 |
| RNN      | 1h           | t+6       | T                 | Univariate   | 2.7000 | 3.1300 |   715.4400 |   197.7429 |       1153 |
| RNN_MV   | 1h           | t+1       | T                 | Multivariate | 0.3600 | 0.4700 |    71.0000 |   306.0387 |       1217 |
| RNN_MV   | 1h           | t+6       | T                 | Multivariate | 2.5900 | 3.2000 |   614.5700 |   306.0387 |       1217 |
| ATT      | 1h           | t+1       | T                 | Univariate   | 0.4300 | 0.5600 |    92.2800 |   281.0838 |      10945 |
| ATT      | 1h           | t+6       | T                 | Univariate   | 2.2400 | 2.6300 |   572.5900 |   281.0838 |      10945 |
| ATT_MV   | 1h           | t+1       | T                 | Multivariate | 0.4400 | 0.5500 |    97.8100 |   142.6808 |      11009 |
| ATT_MV   | 1h           | t+6       | T                 | Multivariate | 2.2600 | 2.7500 |   457.9900 |   142.6808 |      11009 |
| TRANS    | 1h           | t+1       | T                 | Univariate   | 0.4200 | 0.5600 |    82.2500 |   250.8536 |       8641 |
| TRANS    | 1h           | t+6       | T                 | Univariate   | 1.9200 | 2.3700 |   458.6300 |   250.8536 |       8641 |
| TRANS_MV | 1h           | t+1       | T                 | Multivariate | 0.4600 | 0.5800 |   104.6800 |   202.7085 |       8705 |
| TRANS_MV | 1h           | t+6       | T                 | Multivariate | 2.1100 | 2.5400 |   458.0500 |   202.7085 |       8705 |


-- 6h --

| Model    | Resolution   | Horizon   | Target Variable   | Input Type   |    MAE |   RMSE |   MAPE (%) |   Fit Time |   # Params |
|----------|--------------|-----------|-------------------|--------------|--------|--------|------------|------------|------------|
| AR(1)    | 6h           | t+1       | T                 | Univariate   | 1.8100 | 2.5500 |   196.1300 |     0.0020 |          2 |
| AR(1)    | 6h           | t+4       | T                 | Univariate   | 1.8700 | 2.6300 |   118.3100 |     0.0020 |          2 |
| AR(14)   | 6h           | t+1       | T                 | Univariate   | 2.5700 | 3.4800 |   158.7900 |     0.0021 |         15 |
| AR(14)   | 6h           | t+4       | T                 | Univariate   | 1.9100 | 2.6100 |   117.3800 |     0.0021 |         15 |
| RNN      | 6h           | t+1       | T                 | Univariate   | 1.1700 | 1.4800 |   387.4800 |    35.0826 |       1153 |
| RNN      | 6h           | t+4       | T                 | Univariate   | 1.2000 | 1.5200 |   372.5900 |    35.0826 |       1153 |
| RNN_MV   | 6h           | t+1       | T                 | Multivariate | 1.1100 | 1.4300 |   290.3400 |    16.9577 |       1217 |
| RNN_MV   | 6h           | t+4       | T                 | Multivariate | 1.2700 | 1.6700 |   315.1900 |    16.9577 |       1217 |
| ATT      | 6h           | t+1       | T                 | Univariate   | 1.1900 | 1.5500 |   302.0900 |    10.6655 |       9537 |
| ATT      | 6h           | t+4       | T                 | Univariate   | 1.1800 | 1.5200 |   278.8500 |    10.6655 |       9537 |
| ATT_MV   | 6h           | t+1       | T                 | Multivariate | 1.3500 | 1.6400 |   440.3700 |    16.5674 |       9601 |
| ATT_MV   | 6h           | t+4       | T                 | Multivariate | 2.2900 | 2.7700 |   676.8000 |    16.5674 |       9601 |
| TRANS    | 6h           | t+1       | T                 | Univariate   | 1.2900 | 1.6000 |   332.0200 |    21.7515 |       8641 |
| TRANS    | 6h           | t+4       | T                 | Univariate   | 1.3400 | 1.6700 |   337.2600 |    21.7515 |       8641 |
| TRANS_MV | 6h           | t+1       | T                 | Multivariate | 1.1400 | 1.5100 |   246.5400 |    29.6444 |       8705 |
| TRANS_MV | 6h           | t+4       | T                 | Multivariate | 1.3400 | 1.8000 |   254.4700 |    29.6444 |       8705 |


-- 24h --

| Model    | Resolution   | Horizon   | Target Variable   | Input Type   |    MAE |   RMSE |   MAPE (%) |   Fit Time |   # Params |
|----------|--------------|-----------|-------------------|--------------|--------|--------|------------|------------|------------|
| AR(1)    | 24h          | t+1       | T                 | Univariate   | 1.5200 | 2.1900 |   140.9300 |     0.0021 |          2 |
| AR(3)    | 24h          | t+1       | T                 | Univariate   | 1.6300 | 2.2300 |   118.6300 |     0.0010 |          4 |
| RNN      | 24h          | t+1       | T                 | Univariate   | 1.2400 | 1.8500 |   158.7000 |     0.4647 |       1153 |
| RNN_MV   | 24h          | t+1       | T                 | Multivariate | 1.2500 | 1.8600 |   142.5800 |     0.2918 |       1217 |
| ATT      | 24h          | t+1       | T                 | Univariate   | 1.2400 | 1.8000 |   138.2900 |     0.6332 |       9313 |
| ATT_MV   | 24h          | t+1       | T                 | Multivariate | 1.3700 | 1.9300 |   343.2900 |     1.3431 |       9377 |
| TRANS    | 24h          | t+1       | T                 | Univariate   | 1.2900 | 1.8500 |   253.1700 |     1.1343 |       8641 |
| TRANS_MV | 24h          | t+1       | T                 | Multivariate | 1.2900 | 1.9100 |   160.6200 |     0.8191 |       8705 |

